n,d,tsne_fwd [s],compute cov [s]
10,10,7.476846933364868,4.993234872817993
10,21,7.414663791656494,1.21608304977417
10,46,7.450450897216797,1.2453279495239258
10,100,7.44812273979187,1.2477636337280273
10,215,7.391356468200684,1.2589845657348633
10,464,6.059031009674072,1.4359872341156006
10,1000,6.023786306381226,1.439359426498413
10,2154,6.054312229156494,1.2677485942840576
10,4641,5.982263803482056,1.3352348804473877
10,10000,5.9021689891815186,1.5809001922607422
21,10,6.141944408416748,5.100946426391602
21,21,5.97177267074585,1.1202800273895264
21,46,5.9703528881073,1.1980981826782227
21,100,5.953052043914795,1.1902496814727783
21,215,6.1281797885894775,1.248234748840332
21,464,5.9592626094818115,1.5186097621917725
21,1000,5.9673380851745605,1.3147327899932861
21,2154,5.988321781158447,1.5072638988494873
21,4641,5.902185440063477,1.6560101509094238
21,10000,6.000546455383301,2.2034709453582764
46,10,6.017627954483032,5.923934698104858
46,21,5.923752546310425,1.5065691471099854
46,46,5.901142835617065,1.4522464275360107
46,100,5.895019054412842,1.6036438941955566
46,215,5.903555870056152,1.6155877113342285
46,464,5.927700757980347,1.8232405185699463
46,1000,6.051558971405029,1.9195659160614014
46,2154,6.514347314834595,2.69455623626709
46,4641,6.099089860916138,3.137765884399414
46,10000,5.795536041259766,5.465155124664307
100,10,6.4604339599609375,7.646544456481934
100,21,6.124162435531616,2.0995593070983887
100,46,6.237273931503296,2.165278434753418
100,100,6.063724517822266,2.1755475997924805
100,215,6.866023302078247,2.4596214294433594
100,464,6.380094528198242,2.8694326877593994
100,1000,5.923083305358887,4.342295408248901
100,2154,6.355901479721069,4.89424729347229
100,4641,6.2962965965271,9.205780744552612
100,10000,6.0625529289245605,18.421919584274292
215,10,7.2841644287109375,14.078838109970093
215,21,6.44319486618042,8.413324117660522
215,46,6.464413642883301,9.015613555908203
215,100,6.218895673751831,9.034996032714844
215,215,6.396551609039307,10.13045883178711
215,464,6.1238486766815186,11.817869424819946
215,1000,6.2296764850616455,14.89145827293396
215,2154,6.20151686668396,23.313034057617188
215,4641,6.3533265590667725,37.61471128463745
215,10000,6.700132369995117,77.21333527565002
464,10,8.234825372695923,65.06344819068909
464,21,7.259751081466675,60.63948631286621
464,46,7.149863243103027,58.669118881225586
464,100,7.299104690551758,60.33405041694641
464,215,6.946051120758057,61.27167868614197
464,464,7.191487073898315,70.6984634399414
464,1000,6.956533193588257,85.05790162086487
464,2154,7.235407114028931,115.81597185134888
464,4641,7.606812953948975,186.0466389656067
464,10000,8.708667993545532,347.94714426994324
1000,10,10.202072143554688,596.332686662674
1000,21,9.02770209312439,597.647421836853
1000,46,8.931695938110352,581.3946857452393
1000,100,8.35688042640686,599.321720123291
1000,215,8.234214067459106,622.2183949947357
1000,464,9.010979413986206,641.3467631340027
1000,1000,8.55099105834961,699.1684365272522
1000,2154,9.521113634109497,850.1086528301239
1000,4641,11.382929801940918,1240.4521598815918
1000,10000,12.35781935019570124,2112.237135590871